DN sort_id size average sd prov sd_prov sel_id xcoord ycoord
521730 305 102 22 0 12 0 521730 25.79677923 4.36151126
525601 306 114 22 0 12 0 525601 23.62602283 4.35879849
524495 307 58 22 0 8 0 524495 20.05221932 4.35914869
512987 308 861 22 0 8 0 512987 20.0347509 4.36393469
528913 309 75 22 0 12 0 528913 23.55808659 4.35629137
528182 310 93 22 0 8 0 528182 20.03156676 4.35688523
525180 311 172 22 0 8 0 525180 20.04708982 4.35787449
529736 312 66 22 0 13 0 529736 27.79978655 4.35580548
522882 313 164 12 0 8 0 522882 20.28482458 4.35772577
524038 314 122 22 0 12 0 524038 25.7107604 4.35830721
526558 315 120 22 0 8 0 526558 20.28633278 4.35632736
532264 316 60 22 0 8 0 532264 20.27259512 4.35374944
530203 317 131 22 0 8 0 530203 20.92489309 4.35425728
535431 318 115 22 0 12 0 535431 23.54726726 4.35122434
536472 319 56 22 0 12 0 536472 23.53556221 4.35038099
538048 320 71 22 0 13 0 538048 27.79323502 4.34871355
535400 321 67 22 0 8 0 535400 21.07465011 4.34998903
538196 322 79 22 0 12 0 538196 23.58687227 4.34810481
538417 323 76 22 0 7 0 538417 18.75801214 4.34868168
532175 324 477 22 0 7 0 532175 18.79692417 4.3497525
542326 325 90 22 0 12 0 542326 27.00144245 4.34526285
541367 326 108 22 0 7 0 541367 18.80382093 4.34557778
541041 327 145 22 0 7 0 541041 18.77331861 4.3456992
543829 328 142 22 0 8 0 543829 20.30925928 4.34392118
543098 329 56 22 0 7 0 543098 18.81129192 4.34439411
544946 330 74 22 0 12 0 544946 23.68653722 4.34319737
541828 331 144 22 0 12 0 541828 23.56152726 4.34417184
550688 332 67 22 0 13 0 550688 27.79653745 4.33937276
551160 333 69 22 0 12 0 551160 23.59627494 4.33829855
546804 334 201 22 0 7 0 546804 18.75995824 4.34011408
549782 335 136 12 0 7 0 549782 18.77374739 4.33878409
550786 336 77 22 0 8 0 550786 20.09432085 4.33835992
556863 337 61 22 0 7 0 556863 18.71475915 4.33424279
550746 338 80 22 0 7 0 550746 18.77394727 4.33721566
542749 339 444 22 0 7 0 542749 18.76829736 4.34068462
556871 340 63 22 0 7 0 556871 18.72365323 4.33400895
552059 341 106 22 0 7 0 552059 18.75355647 4.33604474
555887 342 79 22 0 12 0 555887 22.60916581 4.33443016
556143 343 66 12 0 7 0 556143 18.77454614 4.33378498
557983 344 108 22 0 12 0 557983 22.59537577 4.33306809
559618 345 64 12 0 7 0 559618 18.76265706 4.33165575
559698 346 108 22 0 12 0 559698 22.61516133 4.3316909
557977 347 59 22 0 12 0 557977 22.58469238 4.33209962
558642 348 77 22 0 8 0 558642 21.04645283 4.33234062
559238 349 97 22 0 13 0 559238 28.58573952 4.33122245
561159 350 101 22 0 12 0 561159 22.62438374 4.33018173
561424 351 168 12 0 7 0 561424 18.76974698 4.32866212
562464 352 95 12 0 7 0 562464 18.75043608 4.32965736
562453 353 151 22 0 7 0 562453 18.71945168 4.32862086
563879 354 58 12 0 7 0 563879 18.70773081 4.32827787
566144 355 59 22 0 12 0 566144 22.62568655 4.32723614
562246 356 120 22 0 12 0 562246 23.70561111 4.32869007
567117 357 59 12 0 7 0 567117 18.73589789 4.32601912
567764 358 147 22 0 7 0 567764 18.72358346 4.32463391
573191 359 61 22 0 12 0 573191 23.70763161 4.32218845
569206 360 110 22 0 7 0 569206 18.73922908 4.32361318
570380 361 89 22 0 12 0 570380 23.71283249 4.32289613
561847 362 273 22 0 12 0 561847 22.63526843 4.32616258
571312 363 106 12 0 7 0 571312 18.74050007 4.32198752
575866 364 64 22 0 13 0 575866 27.79444208 4.32021286
574472 365 111 22 0 7 0 574472 18.70279391 4.31969441
572450 366 97 22 0 12 0 572450 23.60845128 4.32159647
576648 367 60 22 0 8 0 576648 20.10102621 4.31844588
573144 368 197 22 0 12 0 573144 22.61591127 4.31963179
574223 369 96 22 0 8 0 574223 20.91359523 4.31933274
